benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,rerun_priority,rerun_reason,summary_marker_errors,summary_failure_lower_bound,trajectory,error_response_details,result_index_status
swebench,ablation,devstral24b,d03__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.3,scikit-learn__scikit-learn-15100,structured-summarize,run_1,priority,summary_marker_error,50,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/scikit-learn__scikit-learn-15100/structured-summarize/run_1/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00009.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.3,scikit-learn__scikit-learn-15100,structured-summarize,run_3,priority,summary_marker_error,60,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/scikit-learn__scikit-learn-15100/structured-summarize/run_3/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00011.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.3,sympy__sympy-24066,structured-summarize,run_1,priority,summary_marker_error,109,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-24066/structured-summarize/run_1/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00020.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-11292,structured-summarize-partial,run_1,priority,summary_marker_error,12,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-11292/structured-summarize-partial/run_1/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00023.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-11292,structured-summarize-partial,run_3,priority,summary_marker_error,37,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-11292/structured-summarize-partial/run_3/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00025.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-11299,structured-summarize-partial,run_1,priority,summary_marker_error,12,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-11299/structured-summarize-partial/run_1/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00026.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-11299,structured-summarize-partial,run_2,priority,summary_marker_error,70,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-11299/structured-summarize-partial/run_2/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00027.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-13012,structured-summarize-partial,run_1,priority,summary_marker_error,8,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-13012/structured-summarize-partial/run_1/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00028.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-13012,structured-summarize-partial,run_2,priority,summary_marker_error,18,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-13012/structured-summarize-partial/run_2/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00029.txt,recorded
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-13012,structured-summarize-partial,run_3,priority,summary_marker_error,1,,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-13012/structured-summarize-partial/run_3/trajectory.json,/home/ak58925/agentCtx/archives/summary-bug-audit-20260907_185802_CDT/audit-swebench/details/00030.txt,recorded
